チーム移籍後、初の勝利であり、シーズン３勝（２敗）目を挙げた朴賛浩は、これで１７シーズン通算１２３勝（９７敗）を記録し、０５年野茂が立てたアジア投手史上最多勝タイとなった。	据此，朴赞浩迎来加盟新俱乐部以来的赛季第三场胜利（2负），同时以17赛季共123胜（97负）的战绩持平野茂英雄于2005年创下的亚藉投手最多胜场记录。
4つ目のファウルを やっちまった場合は	有球员却犯了四次规的话
世界ランキング１位のフェデラーは４日、米マイアミで開かれた男女プロテニスツアー・ソニーエリックスンオープン男子シングルス８強戦で、世界６位のアンディ・ロディック（米国）に１−２（６−７、６−４、３−６）で敗れ脱落した。	世界排名第一的费德勒于4日在美国麦阿密举行的男女职业网球巡回赛索尼爱利信男子单打八强赛中以1-2(6-7,6-4,3-6)败给了世界排名第六的安德鲁－罗迪克（美国），被淘汰。
青道高校 選手の交代をお知らせします	青道高中更换选手
男子の部は今年も、バージンゴ・ドナチエン氏（３０）の独走が予想される。	本次比赛中，Buzingo Donatien(30 Wia)仍被预想为此次马拉松大赛男子组的热门冠军人选。
監督らは６日、ソウル鍾路区新門路（チョンノグ・シンムンノ）のサッカー会館で行われた三星（サムスン）ハウゼンＫリーグ０６プレーオフ４強チーム合同記者会見で、「前期・後期リーグの成績は忘れて、優勝のために全力を尽くす」と覚悟を決めた。	6日，在首尔钟路区新闻路足球会馆举行的三星hauzen K联赛2006延长赛4强球队联合记者会上，他们全部下决心说：“忘记此前上下半赛季的成绩，将为夺得总冠军而拚尽全力。”
アウト！ゲームセット！	出局！比赛结束！
これまで韓国代表は戦術の露出を嫌って、テストマッチに「偽装先発」を起用したり、セットプレーを積極的に確かめず、批判を浴びている。	此前，代表队担心球队战术提前遭到泄漏，在热身赛上祭出了“伪装首发”，也没有积极尝试定位球进攻，因此引发了争议。
１５日、江陵（カンルン）のアイスアリーナで行われた羽生の練習が終わった後、東亜（トンア）日報の取材に応じたオーサー氏は、「チャ・ジュンファンはチャンピオンへの道を歩んでいる」と話した。	15日，在江原江陵冰上竞技场举行的羽生结弦的训练结束后接受东亚日报采访时奥泽教练评价表示，“车俊焕正在走通往冠军的道路。”
鄭副会長は女子団体戦と個人戦で金メダルを獲得したチョン・ダソミ選手（リカーブ）とチェ・ボミン選手（コンパウンド）にはそれぞれ７０００万ウォンを、男子個人戦で金メダル、団体戦で銅メダルを獲得したオ・ジンヒョク選手（リカーブ）には５０００万ウォンの報奨金を贈った。	郑副会长给在女子团体比赛和个人比赛获得金牌的选手郑多昭美（反曲弓）和崔宝敏（复合弓）各传达了7000万韩元的奖金、给获得男子个人赛金牌和团体赛铜牌的选手吴镇赫（反曲弓）传达了5000万韩元的奖金。
このタイミングの選手交替 うまいことはまったな	选择这个时候换人 收效很明显呢
ヒソカ選手 会心の右ストレート	西索选手 拿手的右直拳
カストロ選手とのリベンジを懸けた	所以今天的比赛关系到卡斯特罗选手能否一雪前耻
これより，第三クォーターを始めます	第三节比赛现在开始
体育館の点検終わってねぇかなと思って	我想看看体育馆检修完了没
大きな大会で格別良い成績を出す理由に対しては、「大きな大会に出れば、私よりお上手な選手たちが多いから、『私も頑張らなくちゃ』という気がします。	对于只有在大赛中才能发挥出色的理由称：“因为参加了大赛后，能够看到很多运动员的实力比我更强，因此产生了‘我也要加油’的想法。
いよいよ，世界一につながる，コンクールの始まりでございます	通向世界第一宝座的比赛，终于开始了
昨季はリーグで先発出場が３度しかなかった李康仁だが、プレシーズン最終戦で強烈な印象を残し、主力争いで有利な位置に立った。	上个赛季作为首发只参加了3场西甲联赛的李康仁在季前赛最后一场比赛中留下了深刻的印象，点燃了主力竞争战。
１６年ぶりの五輪出場に一歩前進した最年長者に、後輩たちは「今のメンバー、このまま！	为了阔别16年的奥运征程，大姐姐已经先向前迈了一步，妹妹们决心：“向这位成员学习！”
そのなかで いかに自分たちの野球ができるか	比的就是谁能发挥出自己应有的水准
ビッグリーグ進出を果たした「レッドブル」黄喜燦（ファン・ヒチャン＝２４）が華麗なデビューを飾った。	成功进入顶级联赛的“黄牛”黄喜灿(24岁)上演了华丽的首秀。
プレーオフが１９回行われた中で、２連敗の後３連勝で韓国シリーズに進出したケースはたった一度だけ。	在19次的重赛中，两连败后奇迹般的取得3连胜而进军韩国循环赛的情况只有一次。
今大会優勝の見返りに得られるのは	这次大赛冠军得到的奖励
決勝の前にどうしても，けりつけときたくて	我一定要在决赛之前把话说清楚
周防名人みたいに試合に出なくなるなんてことになったら…	要是像周防名人那样 搞得人都不想参加比赛了就…
崔京周は、「コース記録をたてた選手は、翌日成績が振るわない」というジンクスを破りきれず、３バーディー、３ボギーのイーブンパー７３とスコアを伸ばせず、２位タイ（２３アンダー、２６９）に満足するしかなかった。	崔京周没有摆脱“创该赛场记录的选手从第二天开始状态倒退”的厄运，总成绩以3个小鸟、3个柏忌仅达到标准杆73杆，遗憾地排在并列第2位（负23杆，269杆）。
金炳賢は２９日、リグリフィールドで行われたシカゴ・カブス戦に先発し、６イニングを無失点で抑える好投で、シーズン３勝（２敗）を記録した。	本月29日，在雷格利球场举行的与芝加哥科普斯队的比赛上，金炳贤首发出场，6局中以无失分的出色表现，赢得了本赛季第3个胜利（2负）。
しかし，もうすぐ次の試合があるんだ，	可是，马上就要下一场比赛了
しかも、最強のアニカ・ソレンスタム（スウェーデン）がひどい風邪のため６番ホールを終えてから試合をあきらめたため、韓国勢の肩が軽くなる見通し。	加上高尔夫皇后艾尼卡·索伦斯坦（瑞典）因感冒，当天打完6个洞后，放弃比赛，韩国选手有望取得好成绩。
この回も稲実に得点を許しません 桜沢高校	樱泽高中 这一局也没让稻实得分
いよいよ公式戦だ	终于到正式比赛了
日向に何度も決められれば，ブロックに迷いが出てもおかしくない	如果日向连续得分，拦网球员就很容易犹豫不决
もう少しだけ このメンバーで バスケがしたいんだ	我还希望以这个阵容多打几场球赛
熱く盛り上がることで有名な中国の観客たちの息をする音や、報道陣のカメラシャッターの音が、選手たちの耳に直に届くくらい近いため、競技力に影響を受けかねない。	因为过度热情的中国观众的声音和媒体的相机快门声会影响到运动员的集中，有可能就会对比赛产生影响。
兵役修了後、１２月、鎭川（チンチョン）選手村で筋トレに集中していたチョン・ヒョンは、しかし、早いテンポで試合の感覚を取り戻し、今シーズンの予測を明るくさせた。	服完兵役后，郑现12月一直在镇川运动员村内着重进行身体恢复训练，此番能这么快速地找回比赛感觉，预示着本赛季的前景很光明。
今回の試合は、２００２年韓日Ｗ杯の４強進出国である韓国と王者ブラジルのサッカー有望株たちの対戦という面で関心を集めている。	因为此次交锋的两支球队是2002韩日世界杯上进入四强的韩国和冠军巴西两个国家的青年队，他们各自代表着本国足球的未来，所以备受人们关注。
洪氏は韓国野球代表チームがワールド・ベースボール・クラシック（ＷＢＣ）４強進出の快挙達成を祝い、サッカー代表の２００６ドイツワールドカップ（Ｗ杯）の１次目標を１６強進出に置いていることを明らかにした。	他对韩国国家棒球队进入世界棒球经典赛（WBC）四强的佳绩表示祝贺，并表明，国家足球队在2006德国世界杯的第一个目标是进入16强。
１９９９年９月３０日、本人の国内最多ホームラン記録を９日早めた５４号タイ記録であると同時に、１０日大邱で行われた対韓火（ハンファ）戦で、６回５３号を記録してから９試合４０打席（３３打数６安打）ぶりのホームランだ。	这是提前9天平自己在1999年9月30日创下的国内最多本垒打数（54个）记录，又是自10日在大邱与韩化队的比赛上，第6回合击出第53个本垒打后，连续9场40次站在击球位置（33个有效击球，6个安打）以来击出的第一个本垒打。
優勝するっていう気合を持って挑めって事よ ねぇ	我们是要你抱着必胜的气势去拼搏啊 对吧
それじゃみんな，優勝を目指して頑張ってね	那请大家努力赢得比赛吧
ＳＢＳの朴盧俊（パク・ノジュン）解説委員は、「３次戦が勝負先であり、序盤２点以上出したチームが勝つだろう」と見込んだ。	ＳＢＳ解说员朴卢俊表示：“三次比赛为关键，只有在最初得到两分的队伍才能笑到最后。”
韓国のサッカーが、国家代表チームのアシアンカップでの苦杯に続いて、青少年チームも、アジア選手権に於いて予想外に予選で脱落するという大きな恥をさらした。	继韩国国家足球队在亚洲杯上的糟糕表现，韩国青年足球队也在亚洲青年足球锦标赛的小组赛中阴沟里翻船，连小组都没出线，遭受奇耻大辱.
メキシコ大会の１年前に行われたアジア地域予選で、韓国代表チームは５回も再編されるなど混迷もあったが、金監督が指揮を取ってから本大会へのチケットがかかった日本との最終２次戦で許監督は決勝ゴールを決めた。	在墨西哥世界杯前一年举行的亚洲地区预选赛中，韩国足球代表队被改编5次，队员的情绪很不稳定，但自从金正男接掌指挥棒之后，在与已经稳操入场券的日本队展开的第2次比赛中，许丁茂打进了制胜的一球。
インターハイ出場の最後の椅子を懸けた	决定全国大赛参赛资格的这场比赛
韓国シリーズが終わった後の１１月１３日、金監督と魚允泰（オ・ユンテ、５５）社長の単独面談の席で、魚社長が金監督に「ＬＧが追求する野球はこういうものではない」と話した。	韩国循环赛结束的11月13日，球队总经理鱼允泰（55岁）在与金星根的单独会谈中说：“LG所追求的棒球不是这样。”
おまえら，何がお笑いコンテストだー！	你们，办什么搞笑比赛
また、１点差という薄氷のリードの状況で締めくくりとして登板することで、グレイディ・リトル監督から「消防士」としての信頼を取り戻したものとみられる。	另外，在仅领先1分的关键时刻，作为终场选手出场取得成功，使金炳铉找回了主教练格莱迪的信任，并回到了“消防员”的位置。
アメリカ大会はこの俺が優勝	美国站是我赢了
昨日　練習試合に勝ったって聞いたわ　すごいのね	我听说你们昨天的练习赛赢了 好厉害哦
優勝，狙ってたのに！	我的目标明明是获胜的
グランプリファイナル　イン　バルセロナ	巴塞罗那 花滑大奖赛总决赛
李のコメントから考えて、チームのキャプテンとして後輩らに新たに「精神的な武装」をし、さらにたくさん走り、協力しつつプレーを行うようにと注文したもようだ。	从他的话来推断，预计是作为球队的队长，重新进行了后辈们的精神武装，并嘱咐大家要进行更多的跑动，来团结合作进行比赛。
今シーズン、優勝のないフェデラーは、１月末にシーズン初のメジャー大会である豪州オープン準決勝でノバク・ジョコビッチ（３位＝セルビア）に敗れた後、１ヵ月ぶりにコートに復帰したものの、以前のような威力はみられなかった。	在本赛季没有得到冠军的费德勒在一月末赛季第一个主要大赛，即澳大利亚公开赛四强赛中输给诺巴克（3位，塞尔维亚）后，过了一个多月才重返赛场，但却再也找不到以前的威力。
韓国男子ジュニア選手がメジャー舞台準決勝に上がったのは今回が初めて。	这是韩国男子青年选手首次进入职业舞台的半决赛。
着くまで試合やってるわけねえし　すれ違うって	去到那边也不一定还在比赛 会错过的
相手は今年のインターハイ準優勝チーム	我们下一个对手是今年全国联赛的亚军
李東国は同日、活発な動きでゴールを成功させた。	李东国当天表现活跃，攻破了对方球门。
今大会は、序盤に風邪と高熱に悩まされるなど本調子でなかった李承佑だが、イランとの決勝トーナメント１回戦で今大会初得点を挙げてから、調子を取り戻し始めた。	在大会初期，因重感冒等身体状态不是很好的李昇祐，在与伊朗队的16强比赛中打开了进球账户，并开始找回状态。
しかし、デイブ・ロバーツ監督が前田健太（２９）にもう一度先発登板の機会を与えることを決め、柳賢振の登板が一日ずれ込んだ。	但是，道奇队主教练大卫•罗伯茨决定再多给麦达•坎塔(29岁)一次首发出场的机会，因此柳贤振的出场日程被推迟了一天。
25日(月)夜、シドニーオリンピックスタジアムで開かれた陸上女子5000m決勝の成績を見ると、なるほどとうなずける。	观看25日晚在悉尼奥运会运动场进行的女子田径5000米决赛成绩，就知道上述话是正确的.因为，登上领奖台的3名奖牌得主，均为已婚女性.
スタープレイヤーが引き続き出てくれなければならないのに、選手層は薄くなるばかりで…」（カン）。	应该继续出现明星球员，但生力军的规模却在不断变小……”
とくに、ヒューイットが今大会の４回戦で脱落してしまったため、豪州のファンたちはクライシュテルス選手が代わりに優勝することを願っている。	特别是由于休伊特在此次比赛的第4轮惨遭淘汰，所以澳大利亚网球迷们希望克里斯特尔斯替代休伊特夺冠。
今大会４日目に初めてこのホールのフェアウェイで２打目のショットをした彼は、ボールをピン８．５メートル地点にキープした後、２パットで先にホールアウトした。	本届大赛四个比赛日首次在球道挥出第二杆的他，将球击落在距离旗杆8.5米处，并以2记推杆率先完成进洞。
アン・ヒョンスは、「オノだけでなく、ホーム・アドバンテージのメリットがあるイタリア選手も警戒しなければならない。	安贤洙表示：“不仅是奥诺，拥有主场优势的意大利选手也是需要警戒的对象。
仮に、秋信守が勝つことになれば、チームは潰れるだろう。	如果秋信守胜利的话，球队就会毁了。
何なんだ，このチームは，	这么可怕的球队
しかし、秦鍾午が所属するＫＴの関係者によると、審判は「私たちが使用する電子標的（全選手の点数が表示される標的）には点数が表示された」として受け入れなかった。	但是，据所属俱乐部KT的相关人士称，当值裁判拒绝了秦钟午的要求，“我们使用的电子靶(出现全体选手的分数的标靶)显示出了分数。”
今回は状況が変わって、７連勝のＫＴＦがＴＧを相手に、シーズン最多である８連勝に挑戦する。	此次是状况相反，同样取得7连胜的KTF队将面对TG队向联赛最高记录——8连胜发起挑战。
韓国体育大学は４日、慶尚北道（キョンサンプクト）の安東（アンドン）室内体育館で行われた男子部Ａ組の忠鋻ハナ銀行との試合で、ゴールキーパーの朴チャンヨンの守備と李サンウク、金ミング（以上６ゴール）の攻撃に支えられ、２６−２５の１点差の勝利を収めた。	４日，韩国体育大学队在庆北安东室内体育馆进行的男子A组与忠清HANA银行队的比赛中，利用守门员朴赞龙的出色防守和李相旭、金民九（以上均投进6球）两把尖刀，最终以26比25领先一分，险胜对手。
いざ 決戦！	决赛开始！
打者との駆け引きや、大きな試合の経験、打者としての一発など、依然として彼ほどの捕手は見当たらないからです。	因为至今还未找到能与他的谋略、大赛经验、作为击球手的致命一击等实力相媲美的选手。
これまで３５歳でメジャー大会（五輪、アジア大会、世界選手権）の代表に選ばれてきた韓国選手は、２００８年の北京五輪に出場したパク・ギョンモが唯一だった。	此前，以35岁的年龄入选韩国国家队参加A级国际赛事（奥运会、亚运会、世界锦标赛）的运动员只有参加2008年北京奥运会的朴敬模。
１年相手に何じゃ，この試合は	跟一年级比赛，怎么打成这样了
シュート，自分を責めるな	秀托，别责备自己
スタンドでは深刻な表情で試合を見守る。	坐在观众席上以深刻的表情关注比赛；
ミシェル・ウィー（１８、ナイキゴルフ）の予選脱落でいささか冷えかかっていた大会の熱気を盛り上がらせた「神童」タッド・フジカ（１６、米国）は２０位（５アンダー、２７５）で大会を終えた。	“小神童”塔德·藤川（16岁，美国）拯救了差点因魏圣美（18岁，耐克高尔夫）的预赛落选而冷却的此次比赛的热潮，他以并列第20位（低于标准杆5杆共275杆）结束了比赛。
一方、今試合の優勝者はハン・スンス（３４・米国）だった。	另外，韩升洙(34岁•美国)获得了本次大赛冠军。
ボンズは、「（今はホームランよりも）ワールドシリーズ優勝と３０００安打が目標だ」と付け加えた。	他还补充到：“现在比起本垒打世界循环赛冠军和3000安打成了我的目标。”
中学の時はスタメンで活躍してて　すごく格好良かったのに	国中的时候你可是首发球员哎 简直帅哭了
だが残り２試合は必ずうちがもらう	剩下的两场比赛赢的一定是我们
これでシーズン９勝を達成した韓国選手らはシーズン初の１０勝の合作を、次の大会に持ち越すことになった。	因此，获得赛季9个冠军的韩国选手们，只能将冠军合计历史上首次达到10个的目标推到下个赛季去奋斗。
試合が重なっても負担は低い	这样一来就算连着几场比赛，负担也很小
尹美進は１８日、ジェニパー・ニコラス（米国）と準々決勝進出チケットを争う。	尹美进将于18日与詹尼弗·尼科尔斯（美国）争夺8强的入场券。
それで十分跳んでるし，試合中はそれで精一杯かもしれない	你这样确实可以跳得很高，比赛中能做到这样或许也很不容易了
私は，それより，この最後の試合で，チーム，みんなが，全力を出し切って，戦えたことが	这一次，我们队里所有人都能够全力应战
日本や欧州の場合は、プロ選手が代表チームの召集期間に今回のような「飲酒波紋」などミスを犯した場合、代表チームに選ばない懲戒処分で済ませる。	日本或欧洲如果出现这种职业选手在代表队聚集期间出现“饮酒风波”等错误的话，则以不选拔到代表队来给予惩罚。
おーッと ２組の選手 どんどん追い上げていく	二班选手渐渐缩短了差距
これまでトッテナムの主将を務めたＧＫウーゴ・ロリス（フランス）らがＵＥＦＡネイションズリーグ参加で今試合に欠場し、主将腕章を着用した孫興民は献身的なプレーを見せた。	此前担任托特纳姆热刺队队长的守门员维戈•洛里斯(法国)等因参加欧足联(UEFA)国家联盟赛事而缺席，因此当天戴上队长袖标的孙兴慜表现出了献身精神。
プロサッカーＫリーグ首位の蔚山現代（ウルサン・ヒョンデ）が２２日、アジアサッカー連盟（ＡＦＣ）チャンピオンズリーグ（ＡＣＬ）で決勝トーナメント進出に失敗し、自尊心を傷つけられた。	职业足球K1联赛领头羊蔚山现代队在2022亚洲足球联盟冠军联赛（ACL）上未能进入16强，失去了自尊心。
昨年首位タイからスタートしたものの、準優勝に止まった経験のあるスピースは「失敗の経験を通じて、忍耐を学んだ」と述べる。	在去年并列领先出发最终获得亚军的斯皮斯说：“通过失败的经验，学会了忍耐”。
鎮痛剤を打たれながら年末まで粘れたが、選手生活の終わりが見えてきたのようだった。	虽然通过注射镇痛剂，勉强坚持到了年末，但似乎已看到了他选手生涯的尽头。
ジャンパー姿で落ち着かなく試合を見守っていた朴賛浩は、抑えのフランシスコ・コルデロが連続３安打を浴び、２−４と逆転されるや、落胆した姿を隠せなかった。	穿着夹克紧张地观看比赛的朴赞浩看到救援投手科勒德洛被连续3个安打，以2比4被对手赶超，失望地低下了头。
これで申智愛は、最優秀選手の最終ポイントで今大会直前まで８点リードしていたオチョアに１５９対１６０と逆転を許した。	年度最佳选手最终积分榜方面，赛前还领先奥查娅8分的申智爱，此役过后被奥查娅以159比160分成功反超。
これは片岡監督の戦い方が	但这难道不正说明
もしあなたが最初から仕合を決めにきていたら	或者如果你最初就打算结束比赛
私を見に来てくださるるファンのために、少しでも永くプレーできる道を求めなくては、と思っている。	为了想念我的球迷，似乎要寻找一个能够在球场上多为他们进行比赛的捷径。
あしたの試合に，障ると，いけないからな	要是影响明天的比赛，那就不好了
ユ・ヨンは１０日、ソウル木洞（モットン）室内リンクで終わった第７０回全国男女フィギュアスケート総合選手権で合計点１８３．７５点で女子シングル総合優勝を飾った。	10日，柳英在首尔木洞室内滑冰场结束的第70届全国男女花样滑冰综合锦标赛上以总分183.75分获得女子单人滑全能冠军。
オースター２２人は、オールスターゲーム選手選考委員会が今シーズンの活躍を基準に選定した４４人のうちファン投票（７０％）と１２チームの監督と主将の投票（３０％）で選ばれる。	22名全明星球员，由全明星队球员选拔委员会先选出本赛季表现出色的44名球员，再通过球迷投票（70%）和12支球队的主教练和队长投票（30%）选出。
続いて，5年生の徒競走です	接下来进行的是五年级赛跑比赛
１０年広州アジア競技大会で「ノーゴールド」に止まったことを思い出せばなおさらだ。	尤其回想起2010年广州亚运会时韩国“零金”的记录，更觉如此。
一緒に本選 出られるなんて	没想到居然能一起出场总决赛
１０日、大宇証券がトレーニング中の韓国体育大学勝利館２階の卓球場は、ボールを打つ音や気合を入れる声、指導者たちの注文などでにぎやかだった。	本月10日，记者来到大宇证券队正在进行训练的韩国体育大学胜利馆（音译）2楼乒乓球场，现场充斥着打球声和呼喝声、教练们的叮嘱声，热闹非凡。
ゴーグルさえずれてなきゃ，優勝出来たかも	如果不是泳镜移位了，说不定就能赢了呢
ワールドカップ・ベスト４の神話に熱狂した韓国人は、おそらく他国の人よりもランク付けに関心を持っている。	曾热衷于世界杯4强神话的韩国人或许比其他任何国家的人更熟悉排名。
今年プロ野球の韓国シリーズで優勝したサムスンの宣東烈（ソン・ドンニョル、４２）監督と、韓国プロゴルフ（ＫＰＧＡ）の賞金獲得トップの崔グァンス（４５）が、歳末助け合いのチャリティーゴルフ・クリニックに共に参加する。	今年职业棒球韩国系列赛的冠军球队三星的主教练宣铜烈（42岁）和韩国职业高尔夫（KPGA）奖金王崔光洙（45岁，POPOSSI）共同参加了帮助不幸的人的慈善高尔夫课堂。
同記録は、李ジヒョン（当時ソウル体高）が００年、第７２回大会時に立てた２分１９秒８７の大会記録を０．３１秒早めたもの。	这一成绩比李智贤（音，当时就读于首尔体育高中）在2000年的第72届大赛上创下的2分19秒87快了0.31秒。
楽しみだな，今夜	就等着看球赛喽
試合お疲れ様	比赛辛苦了
赤司くんのコピーで躱し，間違いなくゴール下まで侵入します	他就会用赤司的技能进行突破，入侵篮下
お願い，この勝負はね，龍山高校の未来がかかってるの	拜托了，这次的比赛关系到龙山高中的未来
ほ，本番では負けません	正…正式比赛的时候我是不会输的
メツ監督と力を合わせて韓国サッカーを立ち直らせたい」話した。	希望与梅楚主教练同心协力重创韩国足球辉煌。”
無冠という心のわだかまりを晴らすために祖国に復帰するなら、韓国プロ野球の盛り上がりに起爆剤になり得る。	如果为了弥补无冠的遗憾回归韩国的话，也可以成为韩国职业棒球票房的催化剂。
東部の金鋳城（キム・ジュソン）は、ＴＧ時代一緒にプレーした許監督が引退する際、「許栽さんに優勝をプレゼントできなくて申し訳ない」と涙を流した。	东部金周成在一同参加了TG的许教练退役时曾流泪表示：“很遗憾不能给许才大哥带来冠军。”
欧州サッカー連盟は、「孫興民が帰って来るトッテナムは第２戦勝利のために全ての努力を傾けなければならない」とコメントした。	欧足联表示，“孙兴慜回归的托特纳姆热刺队必须集中一切努力，争取在次回合比赛中取得胜利。”
「球威と体調については確信がある」	“对(棒球，投手的)球威和身体状态很有把握。”
やるべきことは　すべてやる選手権が始まる前に	在锦标赛中开始前 把该做的都做好
お前がサバゲーの試合で勝つごとに	你每次在生存游戏比赛中获胜的话
孫興民は「子供の時から朴智星先輩がプレーする、この競技場を見ながら育った。	孙兴慜表示，“小时候看着朴智星前辈效力的该体育场长大。
黄喜燦は２日、オーストリア・ザルツブルクの本拠地レッドブル・アレーナで行われた今季オーストリア・ブンデスリーガ第３１節ＳＫシュトゥルム・グラーツ戦でチームが２－０でリードした後半２３分に途中出場した。	2日，在奥地利萨尔茨堡的红牛竞技场举行的2019~2020赛季奥地利甲级联赛第31轮与格拉茨风暴队的主场比赛上，黄喜灿在球队以2比0领先的下半场第23分钟替补上场。
メツ監督もヒディンク元監督のように良い成果を挙げてほしい」とつけ加えた。	希望梅楚教练也能取得像希丁克那样的好成绩。”
長い間ベンチで待機していた李栄杓（イ・ヨンピョ、２９、トテナム・ホットスパー）が４１日ぶりにグラウンドに復帰した。	很长时间坐冷板凳的李荣杓（29岁，托特纳姆热刺队）时隔41天终于重返联赛。
特に あのゴールが 壊れるんじゃないかというほど 激しくたたき込むのを	以几乎把球打破的力量 把篮球用力打进篮框里面
このような状況を鑑みて、今回のアジア大会で見せた中国の競技力は、アジア最高水準ではあるが、一部は期待に及ばなかったと評されている。	有人平价说，如果按这种标准来看，本次大会中，中国的竞技力虽然是亚洲的最高水平，但在部分比赛中没有达到预期的目标。
じっくりチャンスを作って 簡単なシュートでいいんだ	先稳住脚步 制造机会 然后再稳稳的投篮得分
うちの選手に火つけてくれると期待しとるで	希望他们的表现能激起我方队员的斗志
上村先生は，体育館にいた？	上村老师在体育馆么
一方、三星は０−３でリードされた４回、先頭打者コ・ジヘンが１点本塁打を放って、１０安打と２四球を得たが、後続打の不発とＳＫの好守備で得点チャンスを毎度逃した。	三星队在0－3落后的情况下，在第4回合，凭借首发击球手高智邢（音译）的本垒打拿到10安打和2四坏球上垒，但因后续击球手的失误和SK的防守，失去了多次得分机会。
マスターズ優勝者のフィル・ミケルソン（米）も出場が決まり、ウッズのリターンマッチの結果も興味を注ぐ。	由于美国名人赛的冠军得主Philip Mickelson（美国）也参赛，两人的再一次相遇令人拭目以待。
インターハイ出場５９チームが出そろうってこの時期に	全国大赛的59支球队就要出发了
しかも３ポイントだ	而且是三分球 好耶
昨日の試合 ビデオで見たけど	我在电视上看了他们昨天的比赛
秋信守は２５日、シンシナティ戦で、４番のライトで先発出場し、５打数２安打を記録した。	在25日与辛辛那提的客场比赛中，秋信守以4号右外野手首发出场，获得5个击球数、2个本垒打的成绩。
２ゴール差あったんだ	海南还领先两分
今回の機会を通して選手もたくさんのことを学んだはず」と話した。	通过此次机会，相信队员们学了很多东西。”
